Street A,Street B,Latitude,Longitude,Intersection type,Other type
KORPIKUNNAANKATU,NOTKOKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,OSTOSRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PANSSARIKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PELTOMAANKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PIENNIEMENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PIRKONLAHTEENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PORONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PORTINKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,PUNKKERIKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,RUOTSALAISENRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,RUSKONLAHDENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,SAUNAKIVENKATU,61.0503977,28.1027275,GEOMETRIC_CENTER,intersection
KORPIKUNNAANKATU,TORPANPELLONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,TORPANPELLONKATU AJO,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIKUNNAANKATU,VANHA MIKKELINTIE,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,KORPIMETSANKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,KORPISUONKATU,61.0535131,28.0941545,GEOMETRIC_CENTER,intersection
KORPIMAANKATU,LIESHARJUNKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,LINNUNRATA,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,MERENLAHDENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,MIILUKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,NOTKOKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,OSTOSRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PANSSARIKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PELTOMAANKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PIENNIEMENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PIRKONLAHTEENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PORONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PORTINKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,PUNKKERIKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,RUOTSALAISENRAITTI,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,RUSKONLAHDENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,SAUNAKIVENKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,TORPANPELLONKATU,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,TORPANPELLONKATU AJO,61.92410999999999,25.7481511,APPROXIMATE,country
KORPIMAANKATU,VANHA MIKKELINTIE,61.92410999999999,25.7481511,APPROXIMATE,country
